2025-04-27 21:31:16,678 INFO    MainThread:9848 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_setup.py:_flush():68] Configure stats pid to 9848
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_setup.py:_flush():68] Loading settings from C:\Users\pc\.config\wandb\settings
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_setup.py:_flush():68] Loading settings from F:\DJ\Code\colour_transfer\method4_color-transfer-master\wandb\settings
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_init.py:setup_run_log_directory():724] Logging user logs to .\wandb\run-20250427_213116-2wsaoagx\logs\debug.log
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to .\wandb\run-20250427_213116-2wsaoagx\logs\debug-internal.log
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_init.py:init():852] calling init triggers
2025-04-27 21:31:16,679 INFO    MainThread:9848 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-27 21:31:16,680 INFO    MainThread:9848 [wandb_init.py:init():893] starting backend
2025-04-27 21:31:16,680 INFO    MainThread:9848 [wandb_init.py:init():897] sending inform_init request
2025-04-27 21:31:16,736 INFO    MainThread:9848 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-27 21:31:16,737 INFO    MainThread:9848 [wandb_init.py:init():907] backend started and connected
2025-04-27 21:31:16,737 INFO    MainThread:9848 [wandb_init.py:init():1002] updated telemetry
2025-04-27 21:31:16,738 INFO    MainThread:9848 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
